Rank,Feature,Mean_Absolute_SHAP_Value
1,Age,0.12333138072974424
2,GenHlth,0.08548689491305085
3,Sex,0.056710014025855814
4,HighChol,0.05163446854896134
5,HighBP,0.0498176209795603
6,Smoker,0.030633338187304363
7,Diabetes,0.016444228935249283
8,Stroke,0.012028578657905012
9,BMI,0.0017145887793916655
10,PhysActivity,0.00047975612143333454
