Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,True Negative,False Positive,False Negative,True Positive
Logistic Regression,0.7359705811954653,0.25008453371204437,0.7796753109846088,0.3786994367639529,0.8324516126372112,30125,11089,1045,3698
LightGBM,0.8440716321779055,0.3349230140346096,0.5182374024878769,0.4068862771064393,0.8285795043065767,36333,4881,2285,2458
XGBoost,0.7701764693082664,0.26870180459495985,0.712629137676576,0.39025516683985684,0.8285368882581479,32015,9199,1363,3380
Random Forest,0.8379572208803882,0.2771918259723138,0.3546278726544381,0.31116455462029413,0.7570488980135984,36828,4386,3061,1682
